section,text,clean_text,tokens,tokens_nostop
Administrative and Technical Units,"This form collects essential information such as your personal and contact details, academic background, research, and scholarship information (if applicable). It also provides important practical guidance to help you navigate ICVS smoothly during your stay.",this form collects essential information such as your personal and contact details academic background research and scholarship information if applicable it also provides important practical guidance to help you navigate icvs smoothly during your stay,"['this', 'form', 'collect', 'essential', 'information', 'such', 'your', 'personal', 'and', 'contact', 'detail', 'academic', 'background', 'research', 'and', 'scholarship', 'information', 'applicable', 'also', 'provides', 'important', 'practical', 'guidance', 'help', 'you', 'navigate', 'icvs', 'smoothly', 'during', 'your', 'stay']","['form', 'collect', 'essential', 'information', 'personal', 'contact', 'detail', 'academic', 'background', 'research', 'scholarship', 'information', 'applicable', 'also', 'provides', 'important', 'practical', 'guidance', 'help', 'navigate', 'icvs', 'smoothly', 'stay']"
Administrative and Technical Units,"For instance, by filling in this form you will get information about how to schedule your institutional photograph and request the ICVS Identification Card. The ICVS ID Card serves not only as an official ID within the EMED/ICVS building but also grants you access to restricted areas within the ICVS.",for instance by filling in this form you will get information about how to schedule your institutional photograph and request the icvs identification card the icvs id card serves not only as an official id within the emedicvs building but also grants you access to restricted areas within the icvs,"['for', 'instance', 'filling', 'this', 'form', 'you', 'will', 'get', 'information', 'about', 'how', 'schedule', 'your', 'institutional', 'photograph', 'and', 'request', 'the', 'icvs', 'identification', 'card', 'the', 'icvs', 'card', 'serf', 'not', 'only', 'official', 'within', 'the', 'emedicvs', 'building', 'but', 'also', 'grant', 'you', 'access', 'restricted', 'area', 'within', 'the', 'icvs']","['instance', 'filling', 'form', 'get', 'information', 'schedule', 'institutional', 'photograph', 'request', 'icvs', 'identification', 'card', 'icvs', 'card', 'serf', 'official', 'within', 'emedicvs', 'building', 'also', 'grant', 'access', 'restricted', 'area', 'within', 'icvs']"
Administrative and Technical Units,"In addition, the onboarding form includes relevant information about accessing different facilities and completing any required training.",in addition the onboarding form includes relevant information about accessing different facilities and completing any required training,"['addition', 'the', 'onboarding', 'form', 'includes', 'relevant', 'information', 'about', 'accessing', 'different', 'facility', 'and', 'completing', 'any', 'required', 'training']","['addition', 'onboarding', 'form', 'includes', 'relevant', 'information', 'accessing', 'different', 'facility', 'completing', 'required', 'training']"
Mandatory Safety Training,"To ensure you are fully prepared and qualified to work in ICVS laboratories, you must complete the mandatory safety training. This training will give you the essential knowledge to work confidently while keeping yourself and your colleagues safe.",to ensure you are fully prepared and qualified to work in icvs laboratories you must complete the mandatory safety training this training will give you the essential knowledge to work confidently while keeping yourself and your colleagues safe,"['ensure', 'you', 'are', 'fully', 'prepared', 'and', 'qualified', 'work', 'icvs', 'laboratory', 'you', 'must', 'complete', 'the', 'mandatory', 'safety', 'training', 'this', 'training', 'will', 'give', 'you', 'the', 'essential', 'knowledge', 'work', 'confidently', 'while', 'keeping', 'yourself', 'and', 'your', 'colleague', 'safe']","['ensure', 'fully', 'prepared', 'qualified', 'work', 'icvs', 'laboratory', 'must', 'complete', 'mandatory', 'safety', 'training', 'training', 'give', 'essential', 'knowledge', 'work', 'confidently', 'keeping', 'colleague', 'safe']"
Mandatory Safety Training,"When you fill in your onboarding form at the start of your role, you will find a dedicated section with direct access to all safety training materials — including guidance documents, useful links, and detailed instructions.",when you fill in your onboarding form at the start of your role you will find a dedicated section with direct access to all safety training materials including guidance documents useful links and detailed instructions,"['when', 'you', 'fill', 'your', 'onboarding', 'form', 'the', 'start', 'your', 'role', 'you', 'will', 'find', 'dedicated', 'section', 'with', 'direct', 'access', 'all', 'safety', 'training', 'material', 'including', 'guidance', 'document', 'useful', 'link', 'and', 'detailed', 'instruction']","['fill', 'onboarding', 'form', 'start', 'role', 'find', 'dedicated', 'section', 'direct', 'access', 'safety', 'training', 'material', 'including', 'guidance', 'document', 'useful', 'link', 'detailed', 'instruction']"
Mandatory Safety Training,"We encourage you to take the time to read and understand all the information provided, as these safety regulations are an important part of our shared responsibility to maintain a secure and compliant working environment.",we encourage you to take the time to read and understand all the information provided as these safety regulations are an important part of our shared responsibility to maintain a secure and compliant working environment,"['encourage', 'you', 'take', 'the', 'time', 'read', 'and', 'understand', 'all', 'the', 'information', 'provided', 'these', 'safety', 'regulation', 'are', 'important', 'part', 'our', 'shared', 'responsibility', 'maintain', 'secure', 'and', 'compliant', 'working', 'environment']","['encourage', 'take', 'time', 'read', 'understand', 'information', 'provided', 'safety', 'regulation', 'important', 'part', 'shared', 'responsibility', 'maintain', 'secure', 'compliant', 'working', 'environment']"
Mandatory Safety Training,"After thoroughly reviewing all the materials, you will be required to successfully complete the final safety assessment. Once you pass this exam, you must submit a signed Letter of Commitment confirming your agreement to follow all safety rules and procedures.",after thoroughly reviewing all the materials you will be required to successfully complete the final safety assessment once you pass this exam you must submit a signed letter of commitment confirming your agreement to follow all safety rules and procedures,"['after', 'thoroughly', 'reviewing', 'all', 'the', 'material', 'you', 'will', 'required', 'successfully', 'complete', 'the', 'final', 'safety', 'assessment', 'once', 'you', 'pas', 'this', 'exam', 'you', 'must', 'submit', 'signed', 'letter', 'commitment', 'confirming', 'your', 'agreement', 'follow', 'all', 'safety', 'rule', 'and', 'procedure']","['thoroughly', 'reviewing', 'material', 'required', 'successfully', 'complete', 'final', 'safety', 'assessment', 'pas', 'exam', 'must', 'submit', 'signed', 'letter', 'commitment', 'confirming', 'agreement', 'follow', 'safety', 'rule', 'procedure']"
Mandatory Safety Training,"If at any point you have questions or doubts, please contact us at safety.icvs@med.uminho.pt",if at any point you have questions or doubts please contact us at safetyicvsmeduminhopt,"['any', 'point', 'you', 'have', 'question', 'doubt', 'please', 'contact', 'safetyicvsmeduminhopt']","['point', 'question', 'doubt', 'please', 'contact', 'safetyicvsmeduminhopt']"
Mandatory Safety Training,Please note: Your ICVS ID card will only be issued once the signed Letter of Commitment has been received. This ensures that everyone entering our laboratories has formally acknowledged their responsibilities regarding safety.,please note your icvs id card will only be issued once the signed letter of commitment has been received this ensures that everyone entering our laboratories has formally acknowledged their responsibilities regarding safety,"['please', 'note', 'your', 'icvs', 'card', 'will', 'only', 'issued', 'once', 'the', 'signed', 'letter', 'commitment', 'ha', 'been', 'received', 'this', 'ensures', 'that', 'everyone', 'entering', 'our', 'laboratory', 'ha', 'formally', 'acknowledged', 'their', 'responsibility', 'regarding', 'safety']","['please', 'note', 'icvs', 'card', 'issued', 'signed', 'letter', 'commitment', 'ha', 'received', 'ensures', 'everyone', 'entering', 'laboratory', 'ha', 'formally', 'acknowledged', 'responsibility', 'regarding', 'safety']"
Mandatory Safety Training,Laboratory Safety Training – Process Flow,laboratory safety training process flow,"['laboratory', 'safety', 'training', 'process', 'flow']","['laboratory', 'safety', 'training', 'process', 'flow']"
Mandatory Safety Training, Onboarding Form →  Safety Materials →  Review →  Exam →  Letter of Commitment →  Access Card,onboarding form safety materials review exam letter of commitment access card,"['onboarding', 'form', 'safety', 'material', 'review', 'exam', 'letter', 'commitment', 'access', 'card']","['onboarding', 'form', 'safety', 'material', 'review', 'exam', 'letter', 'commitment', 'access', 'card']"
Mandatory Ethics Training,"To ensure you are fully prepared and qualified to work in a research environment, you must complete the mandatory Ethics Training. This training provides the essential knowledge to conduct research responsibly and in accordance with ethical standards.",to ensure you are fully prepared and qualified to work in a research environment you must complete the mandatory ethics training this training provides the essential knowledge to conduct research responsibly and in accordance with ethical standards,"['ensure', 'you', 'are', 'fully', 'prepared', 'and', 'qualified', 'work', 'research', 'environment', 'you', 'must', 'complete', 'the', 'mandatory', 'ethic', 'training', 'this', 'training', 'provides', 'the', 'essential', 'knowledge', 'conduct', 'research', 'responsibly', 'and', 'accordance', 'with', 'ethical', 'standard']","['ensure', 'fully', 'prepared', 'qualified', 'work', 'research', 'environment', 'must', 'complete', 'mandatory', 'ethic', 'training', 'training', 'provides', 'essential', 'knowledge', 'conduct', 'research', 'responsibly', 'accordance', 'ethical', 'standard']"
Mandatory Ethics Training,"When you fill in your onboarding form at the start of your role, you will find a dedicated section with direct access to all ethics training materials — including documents, useful links, and detailed instructions.",when you fill in your onboarding form at the start of your role you will find a dedicated section with direct access to all ethics training materials including documents useful links and detailed instructions,"['when', 'you', 'fill', 'your', 'onboarding', 'form', 'the', 'start', 'your', 'role', 'you', 'will', 'find', 'dedicated', 'section', 'with', 'direct', 'access', 'all', 'ethic', 'training', 'material', 'including', 'document', 'useful', 'link', 'and', 'detailed', 'instruction']","['fill', 'onboarding', 'form', 'start', 'role', 'find', 'dedicated', 'section', 'direct', 'access', 'ethic', 'training', 'material', 'including', 'document', 'useful', 'link', 'detailed', 'instruction']"
Mandatory Ethics Training,"You must complete the mandatory training course within one month of submitting your onboarding form. After completing the training and passing the final ethics assessment, you will receive a certificate confirming successful completion.",you must complete the mandatory training course within one month of submitting your onboarding form after completing the training and passing the final ethics assessment you will receive a certificate confirming successful completion,"['you', 'must', 'complete', 'the', 'mandatory', 'training', 'course', 'within', 'one', 'month', 'submitting', 'your', 'onboarding', 'form', 'after', 'completing', 'the', 'training', 'and', 'passing', 'the', 'final', 'ethic', 'assessment', 'you', 'will', 'receive', 'certificate', 'confirming', 'successful', 'completion']","['must', 'complete', 'mandatory', 'training', 'course', 'within', 'one', 'month', 'submitting', 'onboarding', 'form', 'completing', 'training', 'passing', 'final', 'ethic', 'assessment', 'receive', 'certificate', 'confirming', 'successful', 'completion']"
Code of Ethical Conduct,"All new members must read and sign a Statement of Commitment to Research Integrity and Ethical Conduct. This document outlines the values and principles that guide responsible behaviour in research and within the workplace. It promotes respect, integrity, fairness and accountability in all professional activities, contributing to a positive, inclusive and ethically sound environment at ICVS, and upholding the highest standards of scientific integrity.",all new members must read and sign a statement of commitment to research integrity and ethical conduct this document outlines the values and principles that guide responsible behaviour in research and within the workplace it promotes respect integrity fairness and accountability in all professional activities contributing to a positive inclusive and ethically sound environment at icvs and upholding the highest standards of scientific integrity,"['all', 'new', 'member', 'must', 'read', 'and', 'sign', 'statement', 'commitment', 'research', 'integrity', 'and', 'ethical', 'conduct', 'this', 'document', 'outline', 'the', 'value', 'and', 'principle', 'that', 'guide', 'responsible', 'behaviour', 'research', 'and', 'within', 'the', 'workplace', 'promotes', 'respect', 'integrity', 'fairness', 'and', 'accountability', 'all', 'professional', 'activity', 'contributing', 'positive', 'inclusive', 'and', 'ethically', 'sound', 'environment', 'icvs', 'and', 'upholding', 'the', 'highest', 'standard', 'scientific', 'integrity']","['new', 'member', 'must', 'read', 'sign', 'statement', 'commitment', 'research', 'integrity', 'ethical', 'conduct', 'document', 'outline', 'value', 'principle', 'guide', 'responsible', 'behaviour', 'research', 'within', 'workplace', 'promotes', 'respect', 'integrity', 'fairness', 'accountability', 'professional', 'activity', 'contributing', 'positive', 'inclusive', 'ethically', 'sound', 'environment', 'icvs', 'upholding', 'highest', 'standard', 'scientific', 'integrity']"
Code of Ethical Conduct,"You are required to complete the mandatory ethics training module, provided through the University of Minho Learning Portal (PAUM), before signing the Statement, thereby confirming your understanding and agreement with its principles.",you are required to complete the mandatory ethics training module provided through the university of minho learning portal paum before signing the statement thereby confirming your understanding and agreement with its principles,"['you', 'are', 'required', 'complete', 'the', 'mandatory', 'ethic', 'training', 'module', 'provided', 'through', 'the', 'university', 'minho', 'learning', 'portal', 'paum', 'before', 'signing', 'the', 'statement', 'thereby', 'confirming', 'your', 'understanding', 'and', 'agreement', 'with', 'it', 'principle']","['required', 'complete', 'mandatory', 'ethic', 'training', 'module', 'provided', 'university', 'minho', 'learning', 'portal', 'paum', 'signing', 'statement', 'thereby', 'confirming', 'understanding', 'agreement', 'principle']"
Code of Ethical Conduct,Both the learning certificate and the signed Statement of Commitment must be submitted to: training.icvs@med.uminho.pt,both the learning certificate and the signed statement of commitment must be submitted to trainingicvsmeduminhopt,"['both', 'the', 'learning', 'certificate', 'and', 'the', 'signed', 'statement', 'commitment', 'must', 'submitted', 'trainingicvsmeduminhopt']","['learning', 'certificate', 'signed', 'statement', 'commitment', 'must', 'submitted', 'trainingicvsmeduminhopt']"
Confidentiality Agreement,"All new members must read and sign the Confidentiality Agreement. This document ensures that everyone understands their responsibility to handle information securely and not share it without authorization. It is essential to protect sensitive information such as unpublished data, experimental results, personal details, and intellectual property. By doing so, we maintain trust among collaborators, safeguard the integrity of research, and ensure compliance with legal and ethical standards. The signed Confidentiality Agreement must be submitted to training.icvs@med.uminho.pt",all new members must read and sign the confidentiality agreement this document ensures that everyone understands their responsibility to handle information securely and not share it without authorization it is essential to protect sensitive information such as unpublished data experimental results personal details and intellectual property by doing so we maintain trust among collaborators safeguard the integrity of research and ensure compliance with legal and ethical standards the signed confidentiality agreement must be submitted to trainingicvsmeduminhopt,"['all', 'new', 'member', 'must', 'read', 'and', 'sign', 'the', 'confidentiality', 'agreement', 'this', 'document', 'ensures', 'that', 'everyone', 'understands', 'their', 'responsibility', 'handle', 'information', 'securely', 'and', 'not', 'share', 'without', 'authorization', 'essential', 'protect', 'sensitive', 'information', 'such', 'unpublished', 'data', 'experimental', 'result', 'personal', 'detail', 'and', 'intellectual', 'property', 'doing', 'maintain', 'trust', 'among', 'collaborator', 'safeguard', 'the', 'integrity', 'research', 'and', 'ensure', 'compliance', 'with', 'legal', 'and', 'ethical', 'standard', 'the', 'signed', 'confidentiality', 'agreement', 'must', 'submitted', 'trainingicvsmeduminhopt']","['new', 'member', 'must', 'read', 'sign', 'confidentiality', 'agreement', 'document', 'ensures', 'everyone', 'understands', 'responsibility', 'handle', 'information', 'securely', 'share', 'without', 'authorization', 'essential', 'protect', 'sensitive', 'information', 'unpublished', 'data', 'experimental', 'result', 'personal', 'detail', 'intellectual', 'property', 'maintain', 'trust', 'among', 'collaborator', 'safeguard', 'integrity', 'research', 'ensure', 'compliance', 'legal', 'ethical', 'standard', 'signed', 'confidentiality', 'agreement', 'must', 'submitted', 'trainingicvsmeduminhopt']"
Introduction,"Research integrity is a cornerstone of scientific excellence and social trust. At ICVS, we align our practices with the Code of Ethical Conduct of the University of Minho, the European Code of Conduct for Research Integrity (ALLEA), and frameworks such as ones promoted by the University of Minho on Harassment and Discrimination and the UNESCO Recommendation on Science and Scientific Researchers. This guide aims to orient students to uphold these principles throughout their academic journey.",research integrity is a cornerstone of scientific excellence and social trust at icvs we align our practices with the code of ethical conduct of the university of minho the european code of conduct for research integrity allea and frameworks such as ones promoted by the university of minho on harassment and discrimination and the unesco recommendation on science and scientific researchers this guide aims to orient students to uphold these principles throughout their academic journey,"['research', 'integrity', 'cornerstone', 'scientific', 'excellence', 'and', 'social', 'trust', 'icvs', 'align', 'our', 'practice', 'with', 'the', 'code', 'ethical', 'conduct', 'the', 'university', 'minho', 'the', 'european', 'code', 'conduct', 'for', 'research', 'integrity', 'allea', 'and', 'framework', 'such', 'one', 'promoted', 'the', 'university', 'minho', 'harassment', 'and', 'discrimination', 'and', 'the', 'unesco', 'recommendation', 'science', 'and', 'scientific', 'researcher', 'this', 'guide', 'aim', 'orient', 'student', 'uphold', 'these', 'principle', 'throughout', 'their', 'academic', 'journey']","['research', 'integrity', 'cornerstone', 'scientific', 'excellence', 'social', 'trust', 'icvs', 'align', 'practice', 'code', 'ethical', 'conduct', 'university', 'minho', 'european', 'code', 'conduct', 'research', 'integrity', 'allea', 'framework', 'one', 'promoted', 'university', 'minho', 'harassment', 'discrimination', 'unesco', 'recommendation', 'science', 'scientific', 'researcher', 'guide', 'aim', 'orient', 'student', 'uphold', 'principle', 'throughout', 'academic', 'journey']"
Fundamental Principles,Research integrity at ICVS is grounded in a commitment to the following core principles:,research integrity at icvs is grounded in a commitment to the following core principles,"['research', 'integrity', 'icvs', 'grounded', 'commitment', 'the', 'following', 'core', 'principle']","['research', 'integrity', 'icvs', 'grounded', 'commitment', 'following', 'core', 'principle']"
Fundamental Principles,"Honesty: being truthful at every stage of the research process, from data collection to the communication of results.",honesty being truthful at every stage of the research process from data collection to the communication of results,"['honesty', 'being', 'truthful', 'every', 'stage', 'the', 'research', 'process', 'from', 'data', 'collection', 'the', 'communication', 'result']","['honesty', 'truthful', 'every', 'stage', 'research', 'process', 'data', 'collection', 'communication', 'result']"
Fundamental Principles,"Accountability: taking full responsibility for the research process, from conception to publication.",accountability taking full responsibility for the research process from conception to publication,"['accountability', 'taking', 'full', 'responsibility', 'for', 'the', 'research', 'process', 'from', 'conception', 'publication']","['accountability', 'taking', 'full', 'responsibility', 'research', 'process', 'conception', 'publication']"
Fundamental Principles,"Rigor: applying the highest standards in the design, execution, analysis, and reporting of research.",rigor applying the highest standards in the design execution analysis and reporting of research,"['rigor', 'applying', 'the', 'highest', 'standard', 'the', 'design', 'execution', 'analysis', 'and', 'reporting', 'research']","['rigor', 'applying', 'highest', 'standard', 'design', 'execution', 'analysis', 'reporting', 'research']"
Fundamental Principles,"Transparency: clearly disclosing methods, data sources, and any conflicts of interest.",transparency clearly disclosing methods data sources and any conflicts of interest,"['transparency', 'clearly', 'disclosing', 'method', 'data', 'source', 'and', 'any', 'conflict', 'interest']","['transparency', 'clearly', 'disclosing', 'method', 'data', 'source', 'conflict', 'interest']"
Fundamental Principles,"Fairness: ensuring equitable recognition in collaboration, authorship, and peer review.",fairness ensuring equitable recognition in collaboration authorship and peer review,"['fairness', 'ensuring', 'equitable', 'recognition', 'collaboration', 'authorship', 'and', 'peer', 'review']","['fairness', 'ensuring', 'equitable', 'recognition', 'collaboration', 'authorship', 'peer', 'review']"
Fundamental Principles,"Respect: upholding the dignity, welfare, and rights of all involved in research, including humans, animals, and ecosystems.",respect upholding the dignity welfare and rights of all involved in research including humans animals and ecosystems,"['respect', 'upholding', 'the', 'dignity', 'welfare', 'and', 'right', 'all', 'involved', 'research', 'including', 'human', 'animal', 'and', 'ecosystem']","['respect', 'upholding', 'dignity', 'welfare', 'right', 'involved', 'research', 'including', 'human', 'animal', 'ecosystem']"
Fundamental Principles,"These principles form the foundation of responsible science and are expected of all ICVS researchers, regardless of their career stage.",these principles form the foundation of responsible science and are expected of all icvs researchers regardless of their career stage,"['these', 'principle', 'form', 'the', 'foundation', 'responsible', 'science', 'and', 'are', 'expected', 'all', 'icvs', 'researcher', 'regardless', 'their', 'career', 'stage']","['principle', 'form', 'foundation', 'responsible', 'science', 'expected', 'icvs', 'researcher', 'regardless', 'career', 'stage']"
Institutional and Legal Frameworks for Research Ethics and Integrity,National and University-Level Structures and Regulations,national and universitylevel structures and regulations,"['national', 'and', 'universitylevel', 'structure', 'and', 'regulation']","['national', 'universitylevel', 'structure', 'regulation']"
Institutional and Legal Frameworks for Research Ethics and Integrity,"Academic Regulations of the University of Minho (RAUM): Provides general information on the organization and functioning of the different cycles of studies/courses offered by the University of Minho, rights and responsibilities of the University of Minho academic community, and on academic procedures.",academic regulations of the university of minho raum provides general information on the organization and functioning of the different cycles of studiescourses offered by the university of minho rights and responsibilities of the university of minho academic community and on academic procedures,"['academic', 'regulation', 'the', 'university', 'minho', 'raum', 'provides', 'general', 'information', 'the', 'organization', 'and', 'functioning', 'the', 'different', 'cycle', 'studiescourses', 'offered', 'the', 'university', 'minho', 'right', 'and', 'responsibility', 'the', 'university', 'minho', 'academic', 'community', 'and', 'academic', 'procedure']","['academic', 'regulation', 'university', 'minho', 'raum', 'provides', 'general', 'information', 'organization', 'functioning', 'different', 'cycle', 'studiescourses', 'offered', 'university', 'minho', 'right', 'responsibility', 'university', 'minho', 'academic', 'community', 'academic', 'procedure']"
Institutional and Legal Frameworks for Research Ethics and Integrity,"Code of Ethical Conduct of the University of Minho: Sets out the core ethical principles and standards expected from all members of the University of Minho academic community. It addresses areas such as professional integrity, conflicts of interest, and responsible behaviour in academic and institutional settings. The Code also outlines preventive measures against corruption and defines mechanisms for accountability and sanctions in cases of misconduct.",code of ethical conduct of the university of minho sets out the core ethical principles and standards expected from all members of the university of minho academic community it addresses areas such as professional integrity conflicts of interest and responsible behaviour in academic and institutional settings the code also outlines preventive measures against corruption and defines mechanisms for accountability and sanctions in cases of misconduct,"['code', 'ethical', 'conduct', 'the', 'university', 'minho', 'set', 'out', 'the', 'core', 'ethical', 'principle', 'and', 'standard', 'expected', 'from', 'all', 'member', 'the', 'university', 'minho', 'academic', 'community', 'address', 'area', 'such', 'professional', 'integrity', 'conflict', 'interest', 'and', 'responsible', 'behaviour', 'academic', 'and', 'institutional', 'setting', 'the', 'code', 'also', 'outline', 'preventive', 'measure', 'against', 'corruption', 'and', 'defines', 'mechanism', 'for', 'accountability', 'and', 'sanction', 'case', 'misconduct']","['code', 'ethical', 'conduct', 'university', 'minho', 'set', 'core', 'ethical', 'principle', 'standard', 'expected', 'member', 'university', 'minho', 'academic', 'community', 'address', 'area', 'professional', 'integrity', 'conflict', 'interest', 'responsible', 'behaviour', 'academic', 'institutional', 'setting', 'code', 'also', 'outline', 'preventive', 'measure', 'corruption', 'defines', 'mechanism', 'accountability', 'sanction', 'case', 'misconduct']"
Institutional and Legal Frameworks for Research Ethics and Integrity,Ethics Council of the University of Minho: Advises on ethical matters and promotes reflection on ethical issues pertinent to the University of Minho academic and research community.,ethics council of the university of minho advises on ethical matters and promotes reflection on ethical issues pertinent to the university of minho academic and research community,"['ethic', 'council', 'the', 'university', 'minho', 'advises', 'ethical', 'matter', 'and', 'promotes', 'reflection', 'ethical', 'issue', 'pertinent', 'the', 'university', 'minho', 'academic', 'and', 'research', 'community']","['ethic', 'council', 'university', 'minho', 'advises', 'ethical', 'matter', 'promotes', 'reflection', 'ethical', 'issue', 'pertinent', 'university', 'minho', 'academic', 'research', 'community']"
Institutional and Legal Frameworks for Research Ethics and Integrity,"Ethics Committees of the University of Minho: Committees with specific responsibility for providing informed assessments on the procedural and ethical compliance of research and development (R&D) activities. These include scientific, technological, or experimental projects conducted across the various disciplinary fields and within the academic and research units of the University of Minho.",ethics committees of the university of minho committees with specific responsibility for providing informed assessments on the procedural and ethical compliance of research and development rd activities these include scientific technological or experimental projects conducted across the various disciplinary fields and within the academic and research units of the university of minho,"['ethic', 'committee', 'the', 'university', 'minho', 'committee', 'with', 'specific', 'responsibility', 'for', 'providing', 'informed', 'assessment', 'the', 'procedural', 'and', 'ethical', 'compliance', 'research', 'and', 'development', 'activity', 'these', 'include', 'scientific', 'technological', 'experimental', 'project', 'conducted', 'across', 'the', 'various', 'disciplinary', 'field', 'and', 'within', 'the', 'academic', 'and', 'research', 'unit', 'the', 'university', 'minho']","['ethic', 'committee', 'university', 'minho', 'committee', 'specific', 'responsibility', 'providing', 'informed', 'assessment', 'procedural', 'ethical', 'compliance', 'research', 'development', 'activity', 'include', 'scientific', 'technological', 'experimental', 'project', 'conducted', 'across', 'various', 'disciplinary', 'field', 'within', 'academic', 'research', 'unit', 'university', 'minho']"
ORBEA  MAGDA,"National Ethics Committee for Clinical Research (CEIC): An independent public ethics body operating under the Ministry of Health. While not a regulatory authority itself, its legally binding ethical opinions are required for the authorization of clinical trials and certain biomedical studies in Portugal. It plays a central role in the national framework for ethical oversight of human research. It issues the single ethical opinion required for clinical trials, evaluates study protocols in terms of risk-benefit, consent, investigator qualifications, and participant safety, and coordinates the national ethics committee network. CEIC also promotes ethical literacy, public trust in clinical research, and alignment with international standards.",national ethics committee for clinical research ceic an independent public ethics body operating under the ministry of health while not a regulatory authority itself its legally binding ethical opinions are required for the authorization of clinical trials and certain biomedical studies in portugal it plays a central role in the national framework for ethical oversight of human research it issues the single ethical opinion required for clinical trials evaluates study protocols in terms of riskbenefit consent investigator qualifications and participant safety and coordinates the national ethics committee network ceic also promotes ethical literacy public trust in clinical research and alignment with international standards,"['national', 'ethic', 'committee', 'for', 'clinical', 'research', 'ceic', 'independent', 'public', 'ethic', 'body', 'operating', 'under', 'the', 'ministry', 'health', 'while', 'not', 'regulatory', 'authority', 'itself', 'it', 'legally', 'binding', 'ethical', 'opinion', 'are', 'required', 'for', 'the', 'authorization', 'clinical', 'trial', 'and', 'certain', 'biomedical', 'study', 'portugal', 'play', 'central', 'role', 'the', 'national', 'framework', 'for', 'ethical', 'oversight', 'human', 'research', 'issue', 'the', 'single', 'ethical', 'opinion', 'required', 'for', 'clinical', 'trial', 'evaluates', 'study', 'protocol', 'term', 'riskbenefit', 'consent', 'investigator', 'qualification', 'and', 'participant', 'safety', 'and', 'coordinate', 'the', 'national', 'ethic', 'committee', 'network', 'ceic', 'also', 'promotes', 'ethical', 'literacy', 'public', 'trust', 'clinical', 'research', 'and', 'alignment', 'with', 'international', 'standard']","['national', 'ethic', 'committee', 'clinical', 'research', 'ceic', 'independent', 'public', 'ethic', 'body', 'operating', 'ministry', 'health', 'regulatory', 'authority', 'legally', 'binding', 'ethical', 'opinion', 'required', 'authorization', 'clinical', 'trial', 'certain', 'biomedical', 'study', 'portugal', 'play', 'central', 'role', 'national', 'framework', 'ethical', 'oversight', 'human', 'research', 'issue', 'single', 'ethical', 'opinion', 'required', 'clinical', 'trial', 'evaluates', 'study', 'protocol', 'term', 'riskbenefit', 'consent', 'investigator', 'qualification', 'participant', 'safety', 'coordinate', 'national', 'ethic', 'committee', 'network', 'ceic', 'also', 'promotes', 'ethical', 'literacy', 'public', 'trust', 'clinical', 'research', 'alignment', 'international', 'standard']"
ORBEA  MAGDA,"National Council of Ethics for the Life Sciences (CNECV): An independent advisory body reporting to the Portuguese Parliament. It issues ethical opinions and recommendations on matters related to life sciences, biomedical research, emerging technologies, and health policies. The CNECV plays a key role in promoting national dialogue and reflection on complex ethical issues in science and healthcare.",national council of ethics for the life sciences cnecv an independent advisory body reporting to the portuguese parliament it issues ethical opinions and recommendations on matters related to life sciences biomedical research emerging technologies and health policies the cnecv plays a key role in promoting national dialogue and reflection on complex ethical issues in science and healthcare,"['national', 'council', 'ethic', 'for', 'the', 'life', 'science', 'cnecv', 'independent', 'advisory', 'body', 'reporting', 'the', 'portuguese', 'parliament', 'issue', 'ethical', 'opinion', 'and', 'recommendation', 'matter', 'related', 'life', 'science', 'biomedical', 'research', 'emerging', 'technology', 'and', 'health', 'policy', 'the', 'cnecv', 'play', 'key', 'role', 'promoting', 'national', 'dialogue', 'and', 'reflection', 'complex', 'ethical', 'issue', 'science', 'and', 'healthcare']","['national', 'council', 'ethic', 'life', 'science', 'cnecv', 'independent', 'advisory', 'body', 'reporting', 'portuguese', 'parliament', 'issue', 'ethical', 'opinion', 'recommendation', 'matter', 'related', 'life', 'science', 'biomedical', 'research', 'emerging', 'technology', 'health', 'policy', 'cnecv', 'play', 'key', 'role', 'promoting', 'national', 'dialogue', 'reflection', 'complex', 'ethical', 'issue', 'science', 'healthcare']"
ORBEA  MAGDA,"Lei n.º 12/2005: Establishes the legal framework for the collection, use, and protection of personal genetic and health data in Portugal, with particular relevance for biomedical and clinical research.",lei n establishes the legal framework for the collection use and protection of personal genetic and health data in portugal with particular relevance for biomedical and clinical research,"['lei', 'establishes', 'the', 'legal', 'framework', 'for', 'the', 'collection', 'use', 'and', 'protection', 'personal', 'genetic', 'and', 'health', 'data', 'portugal', 'with', 'particular', 'relevance', 'for', 'biomedical', 'and', 'clinical', 'research']","['lei', 'establishes', 'legal', 'framework', 'collection', 'use', 'protection', 'personal', 'genetic', 'health', 'data', 'portugal', 'particular', 'relevance', 'biomedical', 'clinical', 'research']"
